date,Corr
2021-09-16,0.8015045948691211
2021-09-17,0.7845769748251501
2021-09-18,0.7882088219421214
2021-09-19,0.7857337644965665
2021-09-20,0.8310182486424403
2021-09-21,0.7627746982764766
2021-09-22,0.8643334931332117
2021-09-23,0.8777094802731351
2021-09-24,0.8822395387581284
2021-09-25,0.8838365292272954
2021-09-26,0.8519879395959302
2021-09-27,0.8738013639762517
2021-09-28,0.86996106863951
2021-09-29,0.9007106534475131
2021-09-30,0.9127260881616609
2021-10-01,0.8860456052927836
2021-10-02,0.8769026810274863
2021-10-03,0.8726163103015391
2021-10-04,0.805170690604151
2021-10-05,0.7650882950074335
2021-10-06,0.6275645439515678
2021-10-07,0.6084493709169728
2021-10-08,0.43684184439306417
2021-10-09,0.4413173742002721
2021-10-10,0.5806365947370525
2021-10-11,0.6032536382322213
2021-10-12,0.550029507845308
2021-10-13,0.5110040859128928
2021-10-14,0.2827357750096236
2021-10-15,0.17260885750251478
2021-10-16,0.26276360250881325
2021-10-17,0.27161402651184846
2021-10-18,0.36235762035684665
2021-10-19,0.26879733992540666
2021-10-20,0.414246367028638
2021-10-21,0.17395708246176045
2021-10-22,0.21104583763086354
2021-10-23,0.23294560144145512
2021-10-24,-0.1341331887120229
2021-10-25,-0.18878245095295446
2021-10-26,-0.11783314058082686
2021-10-27,0.20662546956600114
2021-10-28,0.40787644076969115
2021-10-29,0.4020128127637135
2021-10-30,0.4078876933312914
2021-10-31,0.3632385687899119
2021-11-01,0.3427023393716163
2021-11-02,0.36291245854086673
2021-11-03,0.3461033337591035
2021-11-04,0.4472552567536993
2021-11-05,0.44767572970041936
2021-11-06,0.4527813916086984
2021-11-07,0.713830626746724
2021-11-08,0.7512638979902803
2021-11-09,0.6057892788073367
2021-11-10,0.4996902975289231
2021-11-11,0.3682643463513551
2021-11-12,0.3918681603582404
2021-11-13,0.31032939351956496
2021-11-14,0.36701725815097774
2021-11-15,0.4039972406733527
2021-11-16,0.6934958991094482
2021-11-17,0.7189305602577076
2021-11-18,0.7543468288790615
2021-11-19,0.7822210535121423
2021-11-20,0.7901294633609526
2021-11-21,0.7425179823267973
2021-11-22,0.7479948245209603
2021-11-23,0.7954529072611806
2021-11-24,0.8060963332569202
2021-11-25,0.8065240909956561
2021-11-26,0.8261942166512385
2021-11-27,0.8486991665685206
2021-11-28,0.869147113508342
2021-11-29,0.8432983537444674
2021-11-30,0.7929778030093255
2021-12-01,0.7944637755252648
2021-12-02,0.6878362434244003
2021-12-03,0.7059089754290213
2021-12-04,0.6763364697380003
2021-12-05,0.7246655927619687
2021-12-06,0.6874243475250575
2021-12-07,0.642588562579411
2021-12-08,0.667874209336924
2021-12-09,0.7714499100907544
2021-12-10,0.6459301668569805
2021-12-11,0.6759332779137991
2021-12-12,0.6378792525383753
2021-12-13,0.7086777637775429
2021-12-14,0.7032322659461934
2021-12-15,0.7392962053112969
2021-12-16,0.7826254075559478
2021-12-17,0.7600632705512393
2021-12-18,0.8011926833378908
2021-12-19,0.8035622191333455
2021-12-20,0.8121162215873106
2021-12-21,0.8357648939286794
2021-12-22,0.8291989292910327
2021-12-23,0.7386042445863594
2021-12-24,0.7860322926052715
2021-12-25,0.7616959310995715
2021-12-26,0.7573946694034406
2021-12-27,0.5873596453107635
2021-12-28,0.6985771139194833
2021-12-29,0.6028413065174771
2021-12-30,0.63588521621888
2021-12-31,0.6208357137761068
2022-01-01,0.7305944235838676
2022-01-02,0.5696080512665272
2022-01-03,0.5829115806892624
2022-01-04,0.545893064950717
2022-01-05,0.6431487894947242
2022-01-06,0.5738342281384091
2022-01-07,0.6197408542661689
2022-01-08,0.6014247411019091
2022-01-09,0.6260163216017869
2022-01-10,0.6194836553100869
2022-01-11,0.6490610823095478
2022-01-12,0.7534166453467251
2022-01-13,0.4683997901739956
2022-01-14,0.4843584995351032
2022-01-15,0.3959919898002296
2022-01-16,0.45902162401162167
2022-01-17,0.47946582006200544
2022-01-18,0.5127178246868763
2022-01-19,0.4372901845938076
2022-01-20,0.46232073796319745
2022-01-21,0.5549012495325648
2022-01-22,0.5833105252464484
2022-01-23,0.586911976042364
2022-01-24,0.5933582159138198
2022-01-25,0.5440529952139916
2022-01-26,0.523911835777283
2022-01-27,0.7414000436217927
2022-01-28,0.7633442003990204
2022-01-29,0.8017497084393647
2022-01-30,0.7958487339980808
2022-01-31,0.7983446958216431
2022-02-01,0.7997288824155355
2022-02-02,0.7817982947519271
2022-02-03,0.778138124042723
2022-02-04,0.8669135017882733
2022-02-05,0.8245362410754888
2022-02-06,0.815581089672626
2022-02-07,0.7562281542608685
2022-02-08,0.7651645160819236
2022-02-09,0.7818913568334201
2022-02-10,0.7881559209200265
2022-02-11,0.8286145287399939
2022-02-12,0.8084010419463247
2022-02-13,0.8301072781425899
2022-02-14,0.8605195550251514
2022-02-15,0.8688119433095841
2022-02-16,0.8771835958544102
2022-02-17,0.910659233951464
2022-02-18,0.8626014304723745
2022-02-19,0.8584372775504192
2022-02-20,0.8661204096568117
2022-02-21,0.8674153710495861
2022-02-22,0.8883474944187111
2022-02-23,0.872482694721772
2022-02-24,0.8681545634461596
2022-02-25,0.8809244025731863
2022-02-26,0.9003369854772495
2022-02-27,0.9152531938745674
2022-02-28,0.937225675056049
2022-03-01,0.9572976485666238
2022-03-02,0.9567436290104147
2022-03-03,0.9487122692008444
2022-03-04,0.9584292695548199
2022-03-05,0.9582307896542464
2022-03-06,0.9573657785325895
2022-03-07,0.9633029024695539
2022-03-08,0.7076525867705051
2022-03-09,0.5372112607759941
