date,Corr
2020-09-30,0.6868263238604044
2020-10-01,0.7336947469437719
2020-10-02,0.7345364053014205
2020-10-03,0.7213819645204173
2020-10-04,0.7129885672303174
2020-10-05,0.6531504455819265
2020-10-06,0.6865613415713542
2020-10-07,0.607334414908619
2020-10-08,0.5982793199953574
2020-10-09,0.6261353140944994
2020-10-10,0.5261899303979019
2020-10-11,0.5159072424078051
2020-10-12,0.4832075186741448
2020-10-13,0.49896235949435425
2020-10-14,0.6406937442784031
2020-10-15,0.5470589286557564
2020-10-16,0.645356350478025
2020-10-17,0.6643799827465908
2020-10-18,0.6698302547916332
2020-10-19,0.6443795549987337
2020-10-20,0.3816661616079263
2020-10-21,0.3613643502159421
2020-10-22,0.3499200238718959
2020-10-23,0.35649131901010167
2020-10-24,0.36918745751172577
2020-10-25,0.43290707297131914
2020-10-26,0.4215021021079207
2020-10-27,0.4028556462245724
2020-10-28,0.5298551018898895
2020-10-29,0.5323072840388564
2020-10-30,0.459760333412314
2020-10-31,0.45741622025837225
2020-11-01,0.47095207884894746
2020-11-02,0.5251120497418434
2020-11-03,0.6376085952059435
2020-11-04,0.5710334431717808
2020-11-05,0.6170642510701337
2020-11-06,0.625791243623831
2020-11-07,0.7230010253893271
2020-11-08,0.7514023201862242
2020-11-09,0.7732698574941457
2020-11-10,0.7595981510436983
2020-11-11,0.7172967219827108
2020-11-12,0.699473552560638
2020-11-13,0.6706824356767901
2020-11-14,0.6092644175360636
2020-11-15,0.6230901743608619
2020-11-16,0.6276393855208241
2020-11-17,0.6629004843001471
2020-11-18,0.6875207199243925
2020-11-19,0.7256016856203173
2020-11-20,0.7307044485166277
2020-11-21,0.5007456080042199
2020-11-22,0.4789530389414112
2020-11-23,0.3348313221020974
2020-11-24,0.3691104341286616
2020-11-25,0.5024164670588288
2020-11-26,0.7251153433137174
2020-11-27,0.7282355828240713
2020-11-28,0.7733964638470374
2020-11-29,0.7709235036718991
2020-11-30,0.7723515763373473
2020-12-01,0.7551650104007823
2020-12-02,0.7641513868345361
2020-12-03,0.7827809302245968
2020-12-04,0.8087790688291663
2020-12-05,0.856525603560208
2020-12-06,0.8622046920129991
2020-12-07,0.8829621375990353
2020-12-08,0.8735134409000082
2020-12-09,0.8544951491934412
2020-12-10,0.7582438564768708
2020-12-11,0.6576838455886225
2020-12-12,0.6549425645533641
2020-12-13,0.6672183875747427
2020-12-14,0.6550025689261674
2020-12-15,0.5530614181927657
2020-12-16,0.5935170552869431
2020-12-17,0.5248503136034766
2020-12-18,0.3604272048682838
2020-12-19,0.3407053553943788
2020-12-20,0.38102748350980087
2020-12-21,0.5105491052234261
2020-12-22,0.49080185662965137
2020-12-23,0.5532977505710465
2020-12-24,0.5635251848536793
2020-12-25,0.7222010709755358
2020-12-26,0.7512565600556923
2020-12-27,0.771252618565616
2020-12-28,0.7478565240112753
2020-12-29,0.7448586878572558
2020-12-30,0.6682815741426134
2020-12-31,0.7107620806621336
2021-01-01,0.5558891573007501
2021-01-02,0.5987185757675325
2021-01-03,0.6112506854916065
2021-01-04,0.6007155504740073
2021-01-05,0.6071599195942822
2021-01-06,0.6368263519121253
2021-01-07,0.6712275435196249
2021-01-08,0.6737018965584177
2021-01-09,0.4994780157352927
2021-01-10,-0.1792852249081774
2021-01-11,0.13733925783748252
2021-01-12,0.12879451166963365
2021-01-13,0.22300389068639856
2021-01-14,0.1900657251236582
2021-01-15,0.23259880902338678
2021-01-16,0.2039558427157495
2021-01-17,0.21030201051723732
2021-01-18,0.18316131652667486
2021-01-19,0.17960966930229527
2021-01-20,0.15905524891381623
2021-01-21,0.4113492012381899
2021-01-22,0.43975791127283204
2021-01-23,0.43583605858552515
2021-01-24,0.773004028126567
2021-01-25,0.7698199725352904
2021-01-26,0.7918760008988281
2021-01-27,0.7529601057564981
2021-01-28,0.902277134997397
2021-01-29,0.9107970288890856
2021-01-30,0.9123599344694646
2021-01-31,0.9192355008808216
2021-02-01,0.927574783330362
2021-02-02,0.9367428895228418
2021-02-03,0.9301943781865558
2021-02-04,0.8549157239649607
2021-02-05,0.8550882732285896
2021-02-06,0.8721992795959218
2021-02-07,0.8740723796897945
2021-02-08,0.8422379372561548
2021-02-09,0.8128195631495947
2021-02-10,0.687538876941984
2021-02-11,0.6510778374684988
2021-02-12,0.5851472819086685
2021-02-13,0.2587153523423844
2021-02-14,0.16477867760197276
2021-02-15,0.21068942501938692
2021-02-16,0.18676526869510032
2021-02-17,0.2679644761237999
2021-02-18,0.2570276019128434
2021-02-19,0.28103474227667563
2021-02-20,0.3093329795841143
2021-02-21,0.2825647252007634
2021-02-22,0.42017866479228216
2021-02-23,0.41174501674256286
2021-02-24,0.4069956360816262
2021-02-25,0.3855600458748451
2021-02-26,0.3867758891742165
2021-02-27,0.48446744798828667
2021-02-28,0.4967711480232108
2021-03-01,0.5191814364721038
2021-03-02,0.5476563579104095
2021-03-03,0.48667465937154875
2021-03-04,0.4748362058099553
2021-03-05,0.3104435022746849
2021-03-06,0.3957223775021193
2021-03-07,0.46496722956500786
2021-03-08,0.3983283982536313
2021-03-09,0.3949919967955304
2021-03-10,0.45773164345225026
2021-03-11,0.34356740347547776
2021-03-12,0.4042957367495131
2021-03-13,0.5242180311864945
2021-03-14,0.6811613300670052
2021-03-15,0.6697471364894646
2021-03-16,0.6303964224644165
2021-03-17,0.6830942331178538
2021-03-18,0.7088975059677411
2021-03-19,0.7766175697158392
2021-03-20,0.7665150933696414
2021-03-21,0.7852142037125018
2021-03-22,0.8683716585340279
2021-03-23,0.8753253352199458
