TS,ConfUp,ConfDown,VaR_0.99,VaR_0.95,VaR_0.75,DiffSeries,date
42716.59375,44224.34408109043,41208.84341890957,0.08211215992184764,0.05805773314103204,0.023807191887233382,-0.002878952738409879,2021-10-28
43208.539063,44733.664763176064,41683.41336282393,0.08211277231744728,0.058058166137805414,0.023807369442172446,0.01145068205607025,2021-10-29
42235.730469,43726.53018274184,40744.93075525817,0.08211338376708165,0.05805859846573023,0.023807546722843038,-0.022771582835222404,2021-10-30
41034.542969,42482.95499632752,39586.13094167248,0.08211399461799988,0.058059030370330396,0.02380772382992485,-0.028852332947568726,2021-10-31
41564.363281,43031.48748203497,40097.239079965024,0.0821146048348527,0.05805946182661205,0.02380790075316888,0.01282892480246467,2021-11-01
43790.894531,45336.62153130126,42245.16753069874,0.08211521503523517,0.05805989327124829,0.023808077671637583,0.05218276011846967,2021-11-02
48116.941406,49815.38141015863,46418.501401841364,0.08211582401968008,0.058060323856150974,0.023808254237563387,0.09420841893179244,2021-11-03
47711.488281,49395.62901315016,46027.34754884984,0.0821164326031583,0.058060754157548564,0.0238084306872349,-0.008462113921185122,2021-11-04
48199.953125,49901.34849258607,46498.55775741393,0.08211704036354879,0.058061183876978645,0.023808606898264445,0.010185835184376657,2021-11-05
49112.902344,50846.53644455814,47379.26824344186,0.08211764753688687,0.05806161318133096,0.023808782939086927,0.01876372859851827,2021-11-06
51514.8125,53333.244957589246,49696.380042410754,0.08211825446903445,0.05806204231514856,0.023808958909979833,0.0477476105295942,2021-11-07
55361.449219,57315.67939869787,53407.21903930214,0.08211886227801843,0.058062472068936874,0.02380913513509833,0.07201410138182673,2021-11-08
53805.984375,55705.32146046386,51906.64728953614,0.08211946760533158,0.05806290006804983,0.023809310640693512,-0.028498794337862066,2021-11-09
53967.847656,55872.91250850292,52062.78280349707,0.08212007263620032,0.058063327857560576,0.023809486060339072,0.0030037607395350108,2021-11-10
54968.222656,56908.615016573654,53027.83029542634,0.08212067672398884,0.058063754980262665,0.02380966120655264,0.01836679291089993,2021-11-11
54771.578125,56705.04309257095,52838.11315742905,0.0821212802482332,0.05806418170450859,0.023809836189375013,-0.003583836312326838,2021-11-12
57484.789063,59514.046674177654,55455.53145182234,0.0821218831380012,0.058064607980145434,0.023810010988240454,0.048348962716270094,2021-11-13
56041.058594,58019.36591194998,54062.751276050025,0.08212248552715767,0.058065033901822896,0.023810185641961083,-0.025435763510321507,2021-11-14
57401.097656,59427.43061267823,55374.764699321764,0.08212308750814573,0.05806545953490323,0.023810360177339385,0.02397881480766806,2021-11-15
57321.523438,59345.062161233,55297.98471476699,0.0821236897502224,0.05806588535258731,0.02381053478841642,-0.0013872456888215368,2021-11-16
61593.949219,63768.327099860675,59419.57133813933,0.082124290204488,0.058066309906192395,0.023810708881144397,0.0718874583699165,2021-11-17
60892.179688,63041.7995705765,58742.559805423494,0.08212489139739687,0.05806673498205817,0.023810883188030933,-0.01145888462843736,2021-11-18
61553.617188,63726.60304322246,59380.631332777535,0.08212549084122867,0.05806715882123196,0.023811056987798746,0.010803865067453344,2021-11-19
62026.078125,64215.75892037451,59836.39732962549,0.08212608981792767,0.05806758233011763,0.0238112306521284,0.007646292341167538,2021-11-20
64261.992188,66530.6230480123,61993.36132798769,0.08212668792983055,0.05806800522754572,0.02381140406572336,0.03541344366828092,2021-11-21
