TS,ConfUp,ConfDown,VaR_0.99,VaR_0.95,VaR_0.75,DiffSeries,date
39214.21875,40716.157603454885,37712.279896545115,0.08910115692854666,0.06299933160250962,0.025833546972718252,0.022738450595305437,2022-02-24
39105.148438,40579.97414822554,37630.32272777445,0.08773672502493242,0.06203460453377167,0.025437950362212282,-0.002785272313291287,2022-02-25
37709.785156,39099.345563758754,36320.22474824124,0.08572313226044889,0.06061088566574574,0.02485413927537167,-0.03633451794384257,2022-02-26
43193.234375,44832.07583417621,41554.39291582379,0.08826649357500398,0.06240917951920428,0.025591548824844115,0.13576425730995112,2022-02-27
44354.636719,46134.6504701995,42574.622967800504,0.09335960143469235,0.06601028192909966,0.027068219225834456,0.02653338033816155,2022-02-28
43924.117188,45658.68897845554,42189.545397544454,0.09186792257716407,0.06495558438947917,0.026635729265405878,-0.009753715929660345,2022-03-01
42451.789063,44101.63068410268,40801.94744189731,0.09041092572236306,0.06392540889946806,0.026213294832620804,-0.03409447865201898,2022-03-02
39137.605469,40689.76087936051,37585.45005863949,0.0922604588554412,0.06523312874483504,0.026749539284634923,-0.08128527557062526,2022-03-03
39400.585938,41101.58243829918,37699.589437700815,0.10043276002160823,0.07101138717458594,0.029118975701949688,0.0066969062349357955,2022-03-04
38419.984375,40025.65127398323,36814.31747601677,0.09722387548127134,0.06874253244587612,0.028188607653313685,-0.025202937065047948,2022-03-05
38062.039063,39654.00520422654,36470.072921773455,0.09730080519484044,0.06879692590946618,0.028210912272440894,-0.009360315257598728,2022-03-06
38737.269531,40324.938309589175,37149.60075241082,0.09534667601690952,0.0674152510096292,0.027644341762595313,0.017584738196370964,2022-03-07
41982.925781,43664.42312218901,40301.42843981099,0.09317472977671083,0.06587956767929004,0.027014618455372855,0.08046083301435836,2022-03-08
39437.460938,41042.32535057267,37832.596525427325,0.09466818668122852,0.06693552239419032,0.027447623933915945,-0.06254685678189809,2022-03-09
38794.972656,40461.74116078843,37128.20415121157,0.09994808868703023,0.07066869835686614,0.02897845250202994,-0.016425482309768924,2022-03-10
38904.011719,40554.3845487976,37253.638889202404,0.098687542860762,0.0697774243572152,0.02861297610490214,0.0028067068175374743,2022-03-11
37849.664063,39402.36111201604,36296.96701398395,0.09543317142777479,0.06747640793799058,0.02766941981249431,-0.02747526996819971,2022-03-12
39666.753906,41303.14002125832,38030.36779074168,0.09596962154660514,0.06785570715350471,0.02782495549599209,0.04689129939002079,2022-03-13
39338.785156,40951.030882978295,37726.5394290217,0.09534215163264485,0.06741205202552604,0.027643029985089242,-0.00830247189823119,2022-03-14
41143.929688,42795.60163926756,39492.257736732434,0.09338834577983547,0.06603060573401749,0.027076553218523803,0.04486546769270916,2022-03-15
