TS,ConfUp,ConfDown,VaR_0.99,VaR_0.95,VaR_0.75,DiffSeries,date
56280.425781,58284.740048945794,54276.1115130542,0.08284820470778213,0.058578156569210095,0.024020597057344825,-0.022638719973423704,2021-11-23
57274.679688,59306.02992097004,55243.329455029954,0.08250814010038585,0.058337712519927816,0.02392200041380207,0.0175118381739523,2021-11-24
53569.765625,55456.336091738376,51683.195158261624,0.08192716812031163,0.05792693394323869,0.023753556282946214,-0.06687380103001139,2021-11-25
54815.078125,56829.69037037514,52800.46587962486,0.08549999515384425,0.06045311567648416,0.02478944401075855,0.02298046960742184,2021-11-26
57248.457031,59339.264058322544,55157.65000367745,0.08496201880878007,0.06007273733656897,0.02463346582080562,0.04343538627352217,2021-11-27
57806.566406,59930.582851790125,55682.54996020987,0.08547819824459892,0.060437704084078496,0.02478312432313316,0.009701684218265783,2021-11-28
57005.425781,59076.41721986033,54934.43434213967,0.08451557838473867,0.059757079838008036,0.0245040271012361,-0.01395592242113608,2021-11-29
57229.828125,59290.21912326507,55169.43712673493,0.08375328697541565,0.05921809862913106,0.024283012115477405,0.003928780739228088,2021-11-30
56477.816406,58488.44333556428,54467.18947643571,0.08281867077609299,0.05855727448394714,0.024012034135853334,-0.013227302113168804,2021-12-01
53598.246094,55490.741050093005,51705.751137907,0.08214077770415745,0.058077967459189216,0.023815489184923336,-0.05233158565625118,2021-12-02
49200.703125,50973.893669830315,47427.512580169685,0.08384144518738161,0.059280431247702804,0.02430857226967024,-0.08560843085982839,2021-12-03
49368.847656,51272.46453503082,47465.230776969176,0.08970181176557006,0.06342402702242021,0.026007697853374923,0.003411696467383152,2021-12-04
50582.625,52505.07979152767,48660.17020847233,0.08841570830319735,0.06251468239330243,0.02563481140215157,0.024288526856492965,2021-12-05
50700.085938,52609.902238533126,48790.26963746687,0.0876309577854938,0.061959821381456164,0.02540728473403864,0.002319467746728421,2021-12-06
50504.796875,52381.74363767731,48627.85011232269,0.08645577016870655,0.061128900247351084,0.025066556672287698,-0.0038592862312487597,2021-12-07
47672.121094,49421.58016243851,45922.66202556149,0.08537170763932368,0.06036240947303695,0.024752248965861007,-0.057721555803231794,2021-12-08
47243.304688,49017.21427957529,45469.395096424705,0.08735059569509852,0.061761590237097964,0.02532599794179862,-0.00903581941627607,2021-12-09
49362.507813,51193.21443323205,47531.80119276794,0.0862772302838254,0.061002662903194914,0.02501479170467589,0.043880240716269725,2021-12-10
50098.335938,51969.09731033517,48227.57456566482,0.08686998599625327,0.061421773215269454,0.025186652352373568,0.01479660783801684,2021-12-11
46737.480469,48463.16157674168,45011.79936125832,0.0858953999227677,0.06073268820969603,0.024904085705920963,-0.0694413703128074,2021-12-12
46612.632813,48399.53016138504,44825.735464614954,0.08918064903610015,0.06305553681707896,0.02585659451963272,-0.0026748276150492245,2021-12-13
48896.722656,50744.69118800308,47048.754123996914,0.0879203642330869,0.06216444737497096,0.025491193802291246,0.04783877808414161,2021-12-14
47665.425781,49482.11965763273,45848.73190436727,0.08866514603488976,0.06269104834538171,0.02570713213939645,-0.02550406419859108,2021-12-15
46202.144531,47950.89777044684,44453.391291553155,0.08805237120713238,0.06225778343724459,0.025529467248812995,-0.03118009325620541,2021-12-16
46848.777344,48615.60172780568,45081.95296019432,0.0877343739173647,0.06203294217370366,0.02543726869375946,0.013898695667055705,2021-12-17
46707.015625,48447.696111746154,44966.335138253846,0.08669850333059653,0.061300525706368354,0.025136933519858257,-0.0030305301894717473,2021-12-18
46880.277344,48605.001960723224,45155.55272727678,0.08558629924431296,0.06051413733098918,0.024814466590171846,0.003702680384323642,2021-12-19
48936.613281,50714.845661001804,47158.38090099819,0.08453358006231138,0.05976980799658531,0.02450924641823706,0.04292879287702611,2021-12-20
48628.511719,50408.74447256024,46848.278965439764,0.08516486594272205,0.06021616121900045,0.024692278311502832,-0.00631583439623995,2021-12-21
50784.539063,52622.2288556255,48946.84927037449,0.08418124533763076,0.05952068831149487,0.02440709223782102,0.04338193933429224,2021-12-22
50822.195313,52677.18168133931,48967.208944660684,0.08491060977952392,0.06003638837553281,0.02461856054215502,7.412156675492554e-4,2021-12-23
50429.859375,52248.41789876676,48611.30085123324,0.08389077042877759,0.05931530685814601,0.024322873385216534,-0.007749727208832269,2021-12-24
50809.515625,52622.0797493362,48996.9515006638,0.08298946851478108,0.05867803771247848,0.024061554384044618,0.007500204929835164,2021-12-25
50640.417969,52428.010841679075,48852.82509632093,0.08211944225170552,0.05806288214166649,0.023809303289789075,-0.0033336209617562673,2021-12-26
47588.855469,49251.559845036085,45926.15109296392,0.08128013906259283,0.05746944944394791,0.023565959891030712,-0.062151426511659835,2021-12-27
46444.710938,48127.137247242325,44762.28462875767,0.08427028156039187,0.05958364173113296,0.024432906958103687,-0.024336011950829572,2021-12-28
47178.125,48878.287314075176,45477.962685924824,0.08383480659464833,0.059275737403993084,0.024306647509059722,0.015667738702367373,2021-12-29
46306.445313,47959.9339512214,44652.956674778594,0.0830681291184569,0.058733655008884646,0.024084360848853955,-0.018649172746068032,2021-12-30
47686.8125,49377.98100302021,45995.64399697979,0.08250176611502179,0.05833320576792344,0.02392015237213817,0.029373733136971225,2021-12-31
47345.21875,49021.969977973306,45668.467522026694,0.08238860770901112,0.058253196661536694,0.023887343785832394,-0.007189054400020822,2022-01-01
46458.117188,48087.35676753914,44828.877608460854,0.08158268697860774,0.05768336716559945,0.023653679131378363,-0.01891463668500215,2022-01-02
45897.574219,47498.25095823319,44296.89747976681,0.08113132322797723,0.057364228609159296,0.02352281296694633,-0.012138934669176038,2022-01-03
43569.003906,45076.672356520816,42061.33545547918,0.08050129633889908,0.05691876556163275,0.023340146099375486,-0.0520662884659977,2022-01-04
43160.929688,44690.15929875168,41631.700077248315,0.08242454644997087,0.05827860729297121,0.02389776368591819,-0.009410297286267522,2022-01-05
41557.902344,43016.41520887949,40099.38947912052,0.08164532161386834,0.05772765323653958,0.023671839106488693,-0.037847988655943965,2022-01-06
41733.941406,43209.86297161414,40258.01984038586,0.08227133313423064,0.05817027720145535,0.02385334177799397,0.004227048320590399,2022-01-07
41911.601563,43378.558155519524,40444.64497048047,0.08142498074639848,0.057571860339411994,0.02360795456956448,0.004247935224034549,2022-01-08
41821.261719,43270.62733690555,40371.896101094455,0.0806223553602312,0.0570043608298793,0.02337524535085392,-0.002157811772153906,2022-01-09
42735.855469,44203.05128177094,41268.659656229065,0.07986754500134412,0.05647066912782127,0.023156399383708504,0.021633410637312167,2022-01-10
43949.101563,45452.132303851606,42446.07082214839,0.0795595869823623,0.056252926171093495,0.023067111564972636,0.027993907257437556,2022-01-11
42591.570313,44048.92688330082,41134.213742699176,0.07960068938815247,0.05628198779252802,0.023079028592397136,-0.03137582795170779,2022-01-12
43099.699219,44580.899239244296,41618.49919875571,0.07994920105162907,0.05652840436680787,0.023180074333432606,0.011859664689884752,2022-01-13
43177.398438,44650.44063187951,41704.356244120485,0.07936579553362227,0.05611590514732952,0.023010924634673274,0.0018011556279891039,2022-01-14
43113.878906,44572.105403290356,41655.65240870964,0.07868329637511116,0.05563334137052069,0.02281304421787491,-0.0014722123817811905,2022-01-15
42250.550781,43668.00741656759,40833.094145432406,0.07804625430304771,0.0551829182096311,0.02262834340298598,-0.020227571699166447,2022-01-16
42375.632813,43794.94208770463,40956.323538295364,0.0779175883552265,0.05509194443339562,0.022591038637016506,0.0029561092743275452,2022-01-17
41744.328125,43132.03504467499,40356.62120532501,0.07733479462672921,0.05467987778215217,0.02242206631746948,-0.01500991045466904,2022-01-18
40680.417969,42027.92267891364,39332.91325908637,0.07705832126789877,0.054484396181097475,0.02234190700474833,-0.025816743089459138,2022-01-19
36457.316406,37667.132212230645,35247.50059976935,0.07719856276482485,0.054583554495914455,0.022382567927942288,-0.10960468292844183,2022-01-20
35030.25,36359.346976506575,33701.153023493425,0.08826491177454265,0.06240806110082199,0.025591090205473416,-0.039930188832789426,2022-01-21
36276.804688,37655.54438465477,34898.06499134522,0.08841539903401499,0.06251446372328237,0.025634721734180636,0.03496657379496426,2022-01-22
36654.328125,38043.47888315036,35265.17736684964,0.0881655203697808,0.06233778600807485,0.02556227315514422,0.010352967092915222,2022-01-23
36954.003906,38336.71644959538,35571.29136240462,0.08704524669058766,0.06154569199455211,0.02523746656776237,0.008142486820187145,2022-01-24
36852.121094,38213.51058296864,35490.73160503136,0.08593984414968689,0.06076411267920931,0.02491697164436847,-0.0027608244360166623,2022-01-25
37138.234375,38493.07268709256,35783.39606290744,0.08486739555737417,0.06000583358584204,0.024606031225182286,0.00773383788400217,2022-01-26
37784.332031,39146.843121497215,36421.82094050278,0.0838886016599347,0.05931377342140722,0.02432224458314811,0.01724750508379813,2022-01-27
38138.179688,39502.00910832581,36774.350267674185,0.08319069495410626,0.05882031567625853,0.024119896978592847,0.009321351758936558,2022-01-28
37917.601563,39259.586767960915,36575.61635803908,0.08233443835755343,0.05821489600357877,0.023871638193070158,-0.00580044645708,2022-01-29
38483.125,39831.43639623879,37134.81360376121,0.08150692934072111,0.05762980242283781,0.023631714338054124,0.014804408053207041,2022-01-30
38743.273438,40090.15616352813,37396.39071247186,0.08087385207986861,0.05718218259767169,0.023448163060838852,0.006737318515538604,2022-01-31
36952.984375,38225.84746240967,35680.12128759033,0.08013215677767688,0.0566577639492329,0.023233119608103665,-0.04731073997202806,2022-02-01
37154.601563,38458.69999309853,35850.50313290146,0.08165305191755551,0.05773311897887294,0.02367408039235186,0.005441215845449321,2022-02-02
41500.875,42943.282577292804,40058.467422707196,0.08085472416992433,0.05716865813196347,0.023442617209616837,0.11062688344398985,2022-02-03
41441.164063,43061.11486571033,39821.21326028966,0.09093781970522982,0.06429795141058954,0.02636605985751208,-0.001439823471669044,2022-02-04
42412.433594,44045.51182100011,40779.355366999895,0.08957533769204748,0.06333460301972899,0.025971028588554976,0.023166876511407253,2022-02-05
43840.285156,45512.64810030021,42167.922211699784,0.0887425336366689,0.06274576556067349,0.02572956951635745,0.03311158269793957,2022-02-06
44118.445313,45794.56098989063,42442.32963610936,0.08838090539949527,0.06249007486017224,0.025624720821079812,0.006324808982375529,2022-02-07
44338.796875,46000.53813896542,42677.05561103458,0.08718748656014134,0.061646263266778085,0.02527870688919226,0.0049821136706640345,2022-02-08
43565.113281,45176.48490607432,41953.741655925674,0.08604616565788348,0.060839287729480857,0.02494779797447336,-0.017603393787128496,2022-02-09
42407.9375,43962.18242316883,40853.69257683117,0.08526032120172261,0.06028365324404567,0.0247199541352765,-0.026921126049431976,2022-02-10
42244.46875,43786.754268085555,40702.183231914445,0.08493165477817269,0.060051268326525055,0.024624662224555956,-0.0038621218328671603,2022-02-11
42197.515625,43719.873518803295,40675.157731196705,0.08392754875077059,0.059341311118729055,0.024333536709257836,-0.0011120802095430093,2022-02-12
42586.917969,44105.79935794467,41068.03658005533,0.08297023261142573,0.05866443688959434,0.02405597722174928,0.009185768320502774,2022-02-13
44575.203125,46149.01556732414,43001.39068267586,0.08213614235414168,0.05807469001630515,0.023814145234558434,0.04563060448136902,2022-02-14
43961.859375,45533.27800635217,42390.44074364783,0.08315540889867755,0.05879536652875553,0.02410966631490875,-0.013855295049898686,2022-02-15
40538.011719,41974.72008235801,39101.30335564199,0.08244813460222315,0.05829528539095398,0.023904602717645888,-0.08108233071293647,2022-02-16
40030.976563,41540.15842032432,38521.794705675675,0.08770413081984367,0.06201155866988515,0.025428500160248304,-0.012586526417438293,2022-02-17
